STEP;TIME;CAR;LEADER;LEADER_DISTANCE;DRIVING_DISTANCE;INCOMING_MSG;OUTGOING_MSG;SIGNAL_RANGE
1;0.1s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
1;0.1s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
2;0.2s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
2;0.2s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
3;0.3s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
3;0.3s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
4;0.4s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
4;0.4s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
5;0.5s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
5;0.5s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
6;0.6s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
6;0.6s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
7;0.7s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
7;0.7s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
8;0.8s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
8;0.8s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
9;0.9s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
9;0.9s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
10;1.0s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
10;1.0s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
11;1.1s;car1;No leader;No leader;Not initialised;[];[];48.61501904177178
11;1.1s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
12;1.2s;car1;No leader;No leader;0.026000000000000023;[];[];48.61501904177178
12;1.2s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
13;1.3s;car1;No leader;No leader;0.07800000000000007;[];[];48.61501904177178
13;1.3s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
14;1.4s;car1;No leader;No leader;0.15600000000000014;[];[];48.61501904177178
14;1.4s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
15;1.5s;car1;No leader;No leader;0.26000000000000023;[];[];48.61501904177178
15;1.5s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
16;1.6s;car1;No leader;No leader;0.3900000000000001;[];[];48.61501904177178
16;1.6s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
17;1.7s;car1;No leader;No leader;0.5460000000000003;[];[];48.61501904177178
17;1.7s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
18;1.8s;car1;No leader;No leader;0.7280000000000002;[];[];48.61501904177178
18;1.8s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
19;1.9s;car1;No leader;No leader;0.9360000000000002;[];[];48.61501904177178
19;1.9s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
20;2.0s;car1;No leader;No leader;1.17;[];[];48.61501904177178
20;2.0s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
21;2.1s;car1;No leader;No leader;1.4299999999999997;[];[];48.61501904177178
21;2.1s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
22;2.2s;car1;No leader;No leader;1.7159999999999997;[];[];48.61501904177178
22;2.2s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
23;2.3s;car1;No leader;No leader;2.0279999999999996;[];[];48.61501904177178
23;2.3s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
24;2.4s;car1;No leader;No leader;2.3659999999999997;[];[];48.61501904177178
24;2.4s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
25;2.5s;car1;No leader;No leader;2.7299999999999995;[];[];48.61501904177178
25;2.5s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
26;2.6s;car1;No leader;No leader;3.119999999999999;[];[];48.61501904177178
26;2.6s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
27;2.7s;car1;No leader;No leader;3.5359999999999987;[];[];48.61501904177178
27;2.7s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
28;2.8s;car1;No leader;No leader;3.977999999999999;[];[];48.61501904177178
28;2.8s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
29;2.9s;car1;No leader;No leader;4.445999999999999;[];[];48.61501904177178
29;2.9s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
30;3.0s;car1;No leader;No leader;4.939999999999999;[];[];48.61501904177178
30;3.0s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
31;3.1s;car1;No leader;No leader;5.459999999999998;[];[];48.61501904177178
31;3.1s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
32;3.2s;car1;No leader;No leader;6.005999999999998;[];[];48.61501904177178
32;3.2s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
33;3.3s;car1;No leader;No leader;6.577999999999998;[];[];48.61501904177178
33;3.3s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
34;3.4s;car1;No leader;No leader;7.175999999999997;[];[];48.61501904177178
34;3.4s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
35;3.5s;car1;No leader;No leader;7.799999999999997;[];[];48.61501904177178
35;3.5s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
36;3.6s;car1;No leader;No leader;8.449999999999998;[];[];48.61501904177178
36;3.6s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
37;3.7s;car1;No leader;No leader;9.125999999999998;[];[];48.61501904177178
37;3.7s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
38;3.8s;car1;No leader;No leader;9.827999999999998;[];[];48.61501904177178
38;3.8s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
39;3.9s;car1;No leader;No leader;10.555999999999997;[];[];48.61501904177178
39;3.9s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
40;4.0s;car1;No leader;No leader;11.309999999999997;[];[];48.61501904177178
40;4.0s;car2;No leader;No leader;Not initialised;[];[];48.61501904177178
41;4.1s;car1;No leader;No leader;12.089999999999996;[];[];48.61501904177178
41;4.1s;car2;car1;0.48999999999999666;Not initialised;[];[];48.61501904177178
42;4.2s;car1;No leader;No leader;12.895999999999995;[];[];48.61501904177178
42;4.2s;car2;car1;1.269999999999996;0.0259999999999998;[];[];48.61501904177178
43;4.3s;car1;No leader;No leader;13.727999999999994;[];[];48.61501904177178
43;4.3s;car2;car1;2.0499999999999954;0.0779999999999994;[];[];48.61501904177178
44;4.4s;car1;No leader;No leader;14.585999999999993;[];[];48.61501904177178
44;4.4s;car2;car1;2.829999999999994;0.1559999999999997;[];[];48.61501904177178
45;4.5s;car1;No leader;No leader;15.469999999999992;[];[];48.61501904177178
45;4.5s;car2;car1;3.6099999999999923;0.2599999999999998;[];[];48.61501904177178
46;4.6s;car1;No leader;No leader;16.379999999999992;[];[];48.61501904177178
46;4.6s;car2;car1;4.389999999999993;0.3899999999999997;[];[];48.61501904177178
47;4.7s;car1;No leader;No leader;17.315999999999992;[];[];48.61501904177178
47;4.7s;car2;car1;5.169999999999993;0.5459999999999994;[];[];48.61501904177178
48;4.8s;car1;No leader;No leader;18.27799999999999;[];[];48.61501904177178
48;4.8s;car2;car1;5.949999999999992;0.7279999999999998;[];[];48.61501904177178
49;4.9s;car1;No leader;No leader;19.26599999999999;[];[];48.61501904177178
49;4.9s;car2;car1;6.7299999999999915;0.9359999999999999;[];[];48.61501904177178
50;5.0s;car1;No leader;No leader;20.27999999999999;[];[];48.61501904177178
50;5.0s;car2;car1;7.509999999999991;1.17;[];[];48.61501904177178
51;5.1s;car1;No leader;No leader;21.31999999999999;[];[];48.61501904177178
