CAR,STEP,TIME,LEADER_AND_DISTANCE,DRIVING_DISTANCE,WIFI_SIGNAL_STRENGTH,MESH_SIGNAL_STRENGTH,DATAGRAM_COUNT,BYTES_COUNT,WIFI_DATAGRAM,MESH_DATAGRAM
car1,1,0.1,"(None, None)",None,-60,,1,412,[],"[""b'14:41:44.749425 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 412\\nE...B.@.@.t...........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 1, 'generated_time': 0.1}, 'body': {'station_id': 0.06796881600139182, 'leader': null, 'speed': 0.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 0, 'position': [5.1, -4.8, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car1,2,0.2,"(None, None)",0.0259999999999998,-60,,2,878,[],"[""b'14:41:44.832141 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 428\\nE...B.@.@.t...........#....4{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 3, 'generated_time': 0.2}, 'body': {'station_id': 0.03693197242405244, 'leader': null, 'speed': 0.26, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.1259999999999994, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:44.846676 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 450\\nE...,.@.@..)..........#...~G{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 4, 'generated_time': 0.2}, 'body': {'station_id': 0.3597167371608081, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car1,3,0.3,"(None, None)",0.0779999999999994,-60,,2,877,[],"[""b'14:41:44.931027 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 427\\nE...B.@.@.t...........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 5, 'generated_time': 0.3}, 'body': {'station_id': 0.33248474353169155, 'leader': null, 'speed': 0.52, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.177999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:44.939466 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 450\\nE...,.@.@.............#....;{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 6, 'generated_time': 0.3}, 'body': {'station_id': 0.8596380140792392, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car1,4,0.4,"(None, None)",0.1559999999999997,-60,,2,875,[],"[""b'14:41:45.030278 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 426\\nE...B+@.@.t...........#...`.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 7, 'generated_time': 0.4}, 'body': {'station_id': 0.7881353770571861, 'leader': null, 'speed': 0.78, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.255999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.038685 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 449\\nE...,.@.@.............#...E.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 8, 'generated_time': 0.4}, 'body': {'station_id': 0.968564285288821, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car1,5,0.5,"(None, None)",0.2599999999999998,-60,,2,876,[],"[""b'14:41:45.130692 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 426\\nE...B<@.@.t...........#...`.{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 9, 'generated_time': 0.5}, 'body': {'station_id': 0.6734163268138895, 'leader': null, 'speed': 1.04, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.359999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.139097 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 450\\nE...,.@.@.............#....M{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 10, 'generated_time': 0.5}, 'body': {'station_id': 0.343955253023822, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car1,6,0.6,"(None, None)",0.3899999999999997,-60,,2,878,[],"[""b'14:41:45.232066 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 426\\nE...BT@.@.t...........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 11, 'generated_time': 0.6}, 'body': {'station_id': 0.4387553523358837, 'leader': null, 'speed': 1.3, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.489999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.241256 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 452\\nE...,.@.@.............#...P.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 12, 'generated_time': 0.6}, 'body': {'station_id': 0.38467030093339405, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car1,7,0.7,"(None, None)",0.5459999999999994,-60,,2,879,[],"[""b'14:41:45.331478 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 427\\nE...B`@.@.tu..........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 13, 'generated_time': 0.7}, 'body': {'station_id': 0.9590764292852206, 'leader': null, 'speed': 1.56, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.645999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.341015 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 452\\nE...,.@.@.............#...T.{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 14, 'generated_time': 0.7}, 'body': {'station_id': 0.21535632022901463, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car1,8,0.8,"(None, None)",0.7279999999999998,-60,,1,427,[],"[""b'14:41:45.431289 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 427\\nE...Bv@.@.t_..........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 15, 'generated_time': 0.8}, 'body': {'station_id': 0.9513790845965377, 'leader': null, 'speed': 1.82, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [5.827999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car1,9,0.9,"(None, None)",0.9359999999999999,-60,,1,415,[],"[""b'14:41:45.531289 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 415\\nE...B.@.@.ta..........#...!d{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 17, 'generated_time': 0.9}, 'body': {'station_id': 0.9799267658518549, 'leader': null, 'speed': 2.08, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [6.036, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
car1,10,1.0,"(None, None)",1.17,-60,,2,865,[],"[""b'14:41:45.631807 IP 192.168.0.1.44299 > 192.168.0.255.9090: UDP, length 414\\nE...B.@.@.tH..........#.....{'header': {'from_car_id': 'car1', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 18, 'generated_time': 1.0}, 'body': {'station_id': 0.8018472254663198, 'leader': null, 'speed': 2.34, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': 1, 'position': [6.27, -1.6, 0], 'elevation': 0, 'heading': 0}}}\\n'"", ""b'14:41:45.640156 IP 192.168.0.2.48026 > 192.168.0.255.9090: UDP, length 451\\nE...-0@.@.............#...'r{'header': {'from_car_id': 'car2', 'proto_type': 'CAM', 'proto_version': 0, 'message_id': 19, 'generated_time': 1.0}, 'body': {'station_id': 0.5472297130177335, 'leader': null, 'speed': -1073741824.0, 'station_characteristics': {'mobile_its_station': false, 'private_its_station': false, 'physical_relevant_its_station': false}, 'reference_position': {'lane': -1073741824, 'position': [-1073741824.0, -1073741824.0, 0], 'elevation': 0, 'heading': 0}}}\\n'""]"
