FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car1,450,DENM,1,8.4,8.5,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [81.15912671401372, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,450,DENM,2,8.5,8.6,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [82.46243358413535, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,450,DENM,3,8.6,8.7,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [83.76574045425699, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,450,DENM,4,8.7,8.8,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [85.06904732437862, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,450,DENM,5,8.8,8.9,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [86.37235419450025, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,450,DENM,6,8.9,9.0,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [87.67566106462188, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,450,DENM,7,9.0,9.1,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [88.97896793474351, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,450,DENM,8,9.1,9.2,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [90.28227480486514, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,450,DENM,9,9.2,9.3,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [91.58558167498677, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,450,DENM,10,9.3,9.4,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [92.8888885451084, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,451,DENM,11,9.4,9.5,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [94.19219541523003, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,451,DENM,12,9.5,9.6,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [95.49550228535166, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,450,DENM,13,9.6,9.7,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [96.7988091554733, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,451,DENM,14,9.7,9.8,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [98.10211602559492, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,451,DENM,15,9.8,9.9,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 0, 'position': [99.40542289571655, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
