FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car2,408,CAM,202,10.1,10.2,"{'station_id': 0.9888886056008171, 'leader': None, 'speed': 0.0, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [5.1, -4.8, 0], 'elevation': 0, 'heading': 0}}"
car2,429,CAM,204,10.2,10.3,"{'station_id': 0.08368783650120837, 'leader': 'car1', 'speed': 0.26, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.1259999999999994, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,429,CAM,206,10.3,10.4,"{'station_id': 0.29296551513061087, 'leader': 'car1', 'speed': 0.52, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.177999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,429,CAM,208,10.4,10.5,"{'station_id': 0.212347418780646, 'leader': 'car1', 'speed': 0.78, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.255999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,428,CAM,210,10.5,10.6,"{'station_id': 0.4685743506006166, 'leader': 'car1', 'speed': 1.04, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.359999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,426,CAM,212,10.6,10.7,"{'station_id': 0.9650068361607848, 'leader': 'car1', 'speed': 1.3, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.489999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,429,CAM,214,10.7,10.8,"{'station_id': 0.5421001225071801, 'leader': 'car1', 'speed': 1.56, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.645999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,428,CAM,216,10.8,10.9,"{'station_id': 0.7263317774253272, 'leader': 'car1', 'speed': 1.82, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [5.827999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,417,CAM,218,10.9,11.0,"{'station_id': 0.72386078329094, 'leader': 'car1', 'speed': 2.08, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [6.036, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,418,CAM,220,11.0,11.1,"{'station_id': 0.36216210710905483, 'leader': 'car1', 'speed': 2.34, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [6.27, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,443,CAM,222,11.1,11.2,"{'station_id': 0.20514114210472978, 'leader': 'car1', 'speed': 2.5999999999999996, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [6.529999999999999, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,443,CAM,224,11.2,11.3,"{'station_id': 0.5626154350417637, 'leader': 'car1', 'speed': 2.8599999999999994, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 1, 'position': [6.815999999999998, -1.6, 0], 'elevation': 0, 'heading': 0}}"
