STEP,TIME,DRIVING_DISTANCE,LEADER_AND_DISTANCE,WIFI_STRENGTH,CAM_COUNT,DENM_COUNT,CAM_BYTES,DENM_BYTES
1,0.1,None,"(None, None)",0,0,0,0,0
2,0.2,None,"(None, None)",0,0,0,0,0
3,0.3,None,"(None, None)",0,0,0,0,0
4,0.4,None,"(None, None)",0,0,0,0,0
5,0.5,None,"(None, None)",0,0,0,0,0
6,0.6,None,"(None, None)",0,0,0,0,0
7,0.7,None,"(None, None)",0,0,0,0,0
8,0.8,None,"(None, None)",0,0,0,0,0
9,0.9,None,"(None, None)",0,0,0,0,0
10,1.0,None,"(None, None)",0,0,0,0,0
11,1.1,None,"(None, None)",0,0,0,0,0
12,1.2,None,"(None, None)",0,0,0,0,0
13,1.3,None,"(None, None)",0,0,0,0,0
14,1.4,None,"(None, None)",0,0,0,0,0
15,1.5,None,"(None, None)",0,0,0,0,0
16,1.6,None,"(None, None)",0,0,0,0,0
17,1.7,None,"(None, None)",0,0,0,0,0
18,1.8,None,"(None, None)",0,0,0,0,0
19,1.9,None,"(None, None)",0,0,0,0,0
20,2.0,None,"(None, None)",0,0,0,0,0
21,2.1,None,"(None, None)",0,0,0,0,0
22,2.2,None,"(None, None)",0,0,0,0,0
23,2.3,None,"(None, None)",0,0,0,0,0
24,2.4,None,"(None, None)",0,0,0,0,0
25,2.5,None,"(None, None)",0,0,0,0,0
26,2.6,None,"(None, None)",0,0,0,0,0
27,2.7,None,"(None, None)",0,0,0,0,0
28,2.8,None,"(None, None)",0,0,0,0,0
29,2.9,None,"(None, None)",0,0,0,0,0
30,3.0,None,"(None, None)",0,0,0,0,0
31,3.1,None,"(None, None)",0,0,0,0,0
32,3.2,None,"(None, None)",0,0,0,0,0
33,3.3,None,"(None, None)",0,0,0,0,0
34,3.4,None,"(None, None)",0,0,0,0,0
35,3.5,None,"(None, None)",0,0,0,0,0
36,3.6,None,"(None, None)",0,0,0,0,0
37,3.7,None,"(None, None)",0,0,0,0,0
38,3.8,None,"(None, None)",0,0,0,0,0
39,3.9,None,"(None, None)",0,0,0,0,0
40,4.0,None,"(None, None)",0,0,0,0,0
41,4.1,None,"(None, None)",0,0,0,0,0
42,4.2,None,"(None, None)",0,0,0,0,0
43,4.3,None,"(None, None)",0,0,0,0,0
44,4.4,None,"(None, None)",0,0,0,0,0
45,4.5,None,"(None, None)",0,0,0,0,0
46,4.6,None,"(None, None)",0,0,0,0,0
47,4.7,None,"(None, None)",0,0,0,0,0
48,4.8,None,"(None, None)",0,0,0,0,0
49,4.9,None,"(None, None)",0,0,0,0,0
50,5.0,None,"(None, None)",0,0,0,0,0
51,5.1,None,"(None, None)",0,0,0,0,0
52,5.2,None,"(None, None)",0,0,0,0,0
53,5.3,None,"(None, None)",0,0,0,0,0
54,5.4,None,"(None, None)",0,0,0,0,0
55,5.5,None,"(None, None)",0,0,0,0,0
56,5.6,None,"(None, None)",0,0,0,0,0
57,5.7,None,"(None, None)",0,0,0,0,0
58,5.8,None,"(None, None)",0,0,0,0,0
59,5.9,None,"(None, None)",0,0,0,0,0
60,6.0,None,"(None, None)",0,0,0,0,0
61,6.1,None,"(None, None)",0,0,0,0,0
62,6.2,None,"(None, None)",0,0,0,0,0
63,6.3,None,"(None, None)",0,0,0,0,0
64,6.4,None,"(None, None)",0,0,0,0,0
65,6.5,None,"(None, None)",0,0,0,0,0
66,6.6,None,"(None, None)",0,0,0,0,0
67,6.7,None,"(None, None)",0,0,0,0,0
68,6.8,None,"(None, None)",0,0,0,0,0
69,6.9,None,"(None, None)",0,0,0,0,0
70,7.0,None,"(None, None)",0,0,0,0,0
71,7.1,None,"(None, None)",0,0,0,0,0
72,7.2,None,"(None, None)",0,0,0,0,0
73,7.3,None,"(None, None)",0,0,0,0,0
74,7.4,None,"(None, None)",0,0,0,0,0
75,7.5,None,"(None, None)",0,0,0,0,0
76,7.6,None,"(None, None)",0,0,0,0,0
77,7.7,None,"(None, None)",0,0,0,0,0
78,7.8,None,"(None, None)",0,0,0,0,0
79,7.9,None,"(None, None)",0,0,0,0,0
80,8.0,None,"(None, None)",0,0,0,0,0
81,8.1,None,"(None, None)",0,0,0,0,0
82,8.2,None,"(None, None)",0,0,0,0,0
83,8.3,None,"(None, None)",0,0,0,0,0
84,8.4,None,"(None, None)",0,0,0,0,0
85,8.5,None,"(None, None)",0,0,0,0,0
86,8.6,None,"(None, None)",0,0,0,0,0
87,8.7,None,"(None, None)",0,0,0,0,0
88,8.8,None,"(None, None)",0,0,0,0,0
89,8.9,None,"(None, None)",0,0,0,0,0
90,9.0,None,"(None, None)",0,0,0,0,0
91,9.1,None,"(None, None)",0,0,0,0,0
92,9.2,None,"(None, None)",0,0,0,0,0
93,9.3,None,"(None, None)",0,0,0,0,0
94,9.4,None,"(None, None)",0,0,0,0,0
95,9.5,None,"(None, None)",0,0,0,0,0
96,9.6,None,"(None, None)",0,0,0,0,0
97,9.7,None,"(None, None)",0,0,0,0,0
98,9.8,None,"(None, None)",0,0,0,0,0
99,9.9,None,"(None, None)",0,0,0,0,0
100,10.0,None,"(None, None)",0,0,0,0,0
101,10.1,None,"(None, None)",0,0,0,0,0
102,10.2,0.0259999999999998,"('car1', 45.914)",-89.0,1,0,413,0
