STEP,TIME,DRIVING_DISTANCE,LEADER_AND_DISTANCE,WIFI_STRENGTH,CAM_COUNT,DENM_COUNT,CAM_BYTES,DENM_BYTES
1,0.1,None,"(None, None)",-60,0,0,0,0
2,0.2,0.0259999999999998,"(None, None)",-60,0,0,0,0
3,0.3,0.0779999999999994,"(None, None)",-60,0,0,0,0
4,0.4,0.1559999999999997,"(None, None)",-60,0,0,0,0
5,0.5,0.2599999999999998,"(None, None)",-60,0,0,0,0
6,0.6,0.3899999999999997,"(None, None)",-60,0,0,0,0
7,0.7,0.5459999999999994,"(None, None)",-60,0,0,0,0
8,0.8,0.7279999999999998,"(None, None)",-60,0,0,0,0
9,0.9,0.9359999999999999,"(None, None)",-60,0,0,0,0
10,1.0,1.17,"(None, None)",-60,0,0,0,0
11,1.1,1.4299999999999997,"(None, None)",-60,0,0,0,0
12,1.2,1.7159999999999993,"(None, None)",-60,0,0,0,0
13,1.3,2.0279999999999996,"(None, None)",-60,0,0,0,0
14,1.4,2.3659999999999997,"(None, None)",-60,0,0,0,0
15,1.5,2.7299999999999995,"(None, None)",-60,0,0,0,0
16,1.6,3.119999999999999,"(None, None)",-60,0,0,0,0
17,1.7,3.5359999999999996,"(None, None)",-60,0,0,0,0
18,1.8,3.9779999999999998,"(None, None)",-60,0,0,0,0
19,1.9,4.446,"(None, None)",-60,0,0,0,0
20,2.0,4.9399999999999995,"(None, None)",-60,0,0,0,0
21,2.1,5.459999999999999,"(None, None)",-60,0,0,0,0
22,2.2,6.0059999999999985,"(None, None)",-60,0,0,0,0
23,2.3,6.577999999999998,"(None, None)",-60,0,0,0,0
24,2.4,7.175999999999997,"(None, None)",-60,0,0,0,0
25,2.5,7.799999999999995,"(None, None)",-60,0,0,0,0
26,2.6,8.449999999999996,"(None, None)",-60,0,0,0,0
27,2.7,9.125999999999996,"(None, None)",-60,0,0,0,0
28,2.8,9.827999999999996,"(None, None)",-60,0,0,0,0
29,2.9,10.555999999999996,"(None, None)",-60,0,0,0,0
30,3.0,11.309999999999997,"(None, None)",-60,0,0,0,0
31,3.1,12.089999999999998,"(None, None)",-60,0,0,0,0
32,3.2,12.895999999999999,"(None, None)",-60,0,0,0,0
33,3.3,13.728,"(None, None)",-60,0,0,0,0
34,3.4,14.586,"(None, None)",-60,0,0,0,0
35,3.5,15.47,"(None, None)",-60,0,0,0,0
36,3.6,16.380000000000003,"(None, None)",-60,0,0,0,0
37,3.7,17.316000000000003,"(None, None)",-60,0,0,0,0
38,3.8,18.278,"(None, None)",-60,0,0,0,0
39,3.9,19.266,"(None, None)",-60,0,0,0,0
40,4.0,20.28,"(None, None)",-60,0,0,0,0
41,4.1,21.32,"(None, None)",-60,0,0,0,0
42,4.2,22.385999999999996,"(None, None)",-60,0,1,0,438
43,4.3,23.477999999999994,"(None, None)",-60,0,0,0,0
44,4.4,24.595999999999997,"(None, None)",-60,0,0,0,0
45,4.5,25.739999999999995,"(None, None)",-60,0,0,0,0
46,4.6,26.90999999999999,"(None, None)",-60,0,0,0,0
47,4.7,28.105999999999987,"(None, None)",-60,0,0,0,0
48,4.8,29.32799999999999,"(None, None)",-60,0,0,0,0
49,4.9,30.575999999999986,"(None, None)",-60,0,0,0,0
50,5.0,31.849999999999987,"(None, None)",-60,0,0,0,0
51,5.1,33.149999999999984,"(None, None)",-60,0,0,0,0
52,5.2,34.475999999999985,"(None, None)",-60,0,0,0,0
53,5.3,35.82799999999998,"(None, None)",-60,0,0,0,0
54,5.4,37.20599999999998,"(None, None)",-60,0,0,0,0
55,5.5,38.60999999999998,"(None, None)",-60,0,0,0,0
56,5.6,40.02903124999998,"(None, None)",-60,0,0,0,0
57,5.7,41.40306249999998,"(None, None)",-60,0,0,0,0
58,5.8,42.73209374999998,"(None, None)",-60,0,0,0,0
59,5.9,44.01612499999998,"(None, None)",-60,0,0,0,0
60,6.0,45.255156249999985,"(None, None)",-60,0,0,0,0
61,6.1,46.44918749999999,"(None, None)",-60,0,0,0,0
62,6.2,47.59821874999999,"(None, None)",-60,0,0,0,0
63,6.3,48.77324999999999,"(None, None)",-60,0,0,0,0
64,6.4,49.97428124999999,"(None, None)",-60,0,0,0,0
65,6.5,51.20131249999999,"(None, None)",-60,0,0,0,0
66,6.6,52.42765848214285,"(None, None)",-60,0,0,0,0
67,6.7,53.60900446428571,"(None, None)",-60,0,0,0,0
68,6.8,54.74535044642857,"(None, None)",-60,0,0,0,0
69,6.9,55.83669642857142,"(None, None)",-60,0,0,0,0
70,7.0,56.88304241071428,"(None, None)",-60,0,0,0,0
71,7.1,57.88438839285714,"(None, None)",-60,0,0,0,0
72,7.2,58.840734375,"(None, None)",-60,0,0,0,0
73,7.3,59.75208035714285,"(None, None)",-60,0,0,0,0
74,7.4,60.61842633928571,"(None, None)",-60,0,0,0,0
75,7.5,61.43977232142857,"(None, None)",-60,0,0,0,0
76,7.6,62.21611830357143,"(None, None)",-60,0,0,0,0
77,7.7,62.94746428571428,"(None, None)",-60,0,0,0,0
78,7.8,63.63381026785714,"(None, None)",-60,0,0,0,0
79,7.9,64.27515625,"(None, None)",-60,0,0,0,0
80,8.0,64.94250223214286,"(None, None)",-60,0,0,0,0
81,8.1,65.63584821428572,"(None, None)",-60,0,0,0,0
82,8.2,66.35519419642857,"(None, None)",-60,0,0,0,0
83,8.3,67.10054017857142,"(None, None)",-60,0,0,0,0
84,8.4,67.87188616071428,"(None, None)",-60,0,0,0,0
85,8.5,68.66923214285714,"(None, None)",-60,0,0,0,0
86,8.6,69.492578125,"(None, None)",-60,0,0,0,0
87,8.7,70.34056010185587,"(None, None)",-60,0,0,0,0
88,8.8,71.18854207871175,"(None, None)",-60,0,0,0,0
89,8.9,72.03652405556764,"(None, None)",-60,0,0,0,0
90,9.0,72.88450603242352,"(None, None)",-60,0,0,0,0
91,9.1,73.7324880092794,"(None, None)",-60,0,0,0,0
92,9.2,74.58046998613527,"(None, None)",-60,0,0,0,0
93,9.3,75.42845196299115,"(None, None)",-60,0,0,0,0
94,9.4,76.27643393984704,"(None, None)",-60,0,0,0,0
95,9.5,77.12441591670292,"(None, None)",-60,0,0,0,0
96,9.6,77.9983978935588,"(None, None)",-60,0,0,0,0
97,9.7,78.89837987041467,"(None, None)",-60,0,0,0,0
98,9.8,79.82436184727055,"(None, None)",-60,0,0,0,0
99,9.9,80.77634382412644,"(None, None)",-60,0,0,0,0
100,10.0,81.75432580098231,"(None, None)",-60,0,0,0,0
101,10.1,82.7583077778382,"(None, None)",-60,0,0,0,0
102,10.2,83.78828975469408,"(None, None)",-60,0,0,0,0
103,10.3,84.84427173154995,"(None, None)",-60,0,0,0,0
104,10.4,85.92625370840584,"(None, None)",-60,0,0,0,0
105,10.5,87.03423568526172,"(None, None)",-60,0,0,0,0
106,10.6,88.1682176621176,"(None, None)",-60,0,0,0,0
107,10.7,89.32819963897347,"(None, None)",-60,0,0,0,0
108,10.8,90.51418161582936,"(None, None)",-60,0,0,0,0
109,10.9,91.72616359268524,"(None, None)",-60,0,0,0,0
110,11.0,92.96414556954112,"(None, None)",-60,0,0,0,0
111,11.1,94.22812754639699,"(None, None)",-60,0,0,0,0
112,11.2,95.51810952325287,"(None, None)",-60,0,0,0,0
113,11.3,96.83409150010876,"(None, None)",-60,0,0,0,0
114,11.4,98.17607347696463,"(None, None)",-60,0,0,0,0
115,11.5,99.54405545382052,"(None, None)",-60,0,0,0,0
116,11.6,100.9380374306764,"(None, None)",-60,0,0,0,0
117,11.7,102.35801940753228,"(None, None)",-60,0,0,0,0
118,11.8,103.80400138438816,"(None, None)",-60,0,0,0,0
119,11.9,105.27598336124404,"(None, None)",-60,0,0,0,0
120,12.0,106.74829206856006,"(None, None)",-60,0,0,0,0
121,12.1,108.22060077587608,"(None, None)",-60,0,0,0,0
122,12.2,109.6929094831921,"(None, None)",-60,0,0,0,0
123,12.3,111.16521819050813,"(None, None)",-60,0,0,0,0
124,12.4,112.63752689782416,"(None, None)",-60,0,0,0,0
125,12.5,114.10983560514018,"(None, None)",-60,0,0,0,0
126,12.6,115.5821443124562,"(None, None)",-60,0,0,0,0
127,12.7,117.05445301977223,"(None, None)",-60,0,0,0,0
128,12.8,118.52676172708826,"(None, None)",-60,0,0,0,0
