FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car,426,CAM,81,4.1,4.2,"{'station_id': 0.7170459751451707, 'leader': None, 'speed': 10.399999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-48.58, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,427,CAM,83,4.2,4.3,"{'station_id': 0.039584298910021354, 'leader': None, 'speed': 10.659999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-47.514, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,84,4.3,4.4,"{'station_id': 0.8710443633772831, 'leader': None, 'speed': 10.919999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-46.422000000000004, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,427,CAM,85,4.4,4.5,"{'station_id': 0.849923792759712, 'leader': None, 'speed': 11.179999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-45.304, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,86,4.5,4.6,"{'station_id': 0.4457753025580736, 'leader': None, 'speed': 11.439999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-44.16000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,87,4.6,4.7,"{'station_id': 0.6191449852637094, 'leader': None, 'speed': 11.699999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-42.99000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,88,4.7,4.8,"{'station_id': 0.34197317921157533, 'leader': None, 'speed': 11.959999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-41.79400000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,89,4.8,4.9,"{'station_id': 0.2016656067589253, 'leader': None, 'speed': 12.219999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-40.57200000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,90,4.9,5.0,"{'station_id': 0.46283626901471275, 'leader': None, 'speed': 12.479999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-39.32400000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,437,CAM,91,5.0,5.1,"{'station_id': 0.7052192250335647, 'leader': None, 'speed': 12.739999999999991, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-38.05000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
