FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car,427,CAM,87,4.4,4.5,"{'station_id': 0.2462411171452592, 'leader': None, 'speed': 11.179999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-45.304, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,89,4.5,4.6,"{'station_id': 0.4112222200086908, 'leader': None, 'speed': 11.439999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-44.16000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,90,4.6,4.7,"{'station_id': 0.3754373269470209, 'leader': None, 'speed': 11.699999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-42.99000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,91,4.7,4.8,"{'station_id': 0.03321111240901964, 'leader': None, 'speed': 11.959999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-41.79400000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,92,4.8,4.9,"{'station_id': 0.5521254075733073, 'leader': None, 'speed': 12.219999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-40.57200000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,93,4.9,5.0,"{'station_id': 0.7241252110396795, 'leader': None, 'speed': 12.479999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-39.32400000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,94,5.0,5.1,"{'station_id': 0.9856637642382092, 'leader': None, 'speed': 12.739999999999991, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-38.05000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,95,5.1,5.2,"{'station_id': 0.3403380214659838, 'leader': None, 'speed': 12.999999999999991, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-36.750000000000014, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,96,5.2,5.3,"{'station_id': 0.2989919891204491, 'leader': None, 'speed': 13.259999999999991, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-35.424000000000014, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,97,5.3,5.4,"{'station_id': 0.5704227277829014, 'leader': None, 'speed': 13.51999999999999, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-34.07200000000002, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,437,CAM,98,5.4,5.5,"{'station_id': 0.7057774973169991, 'leader': None, 'speed': 13.77999999999999, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-32.69400000000002, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,437,CAM,99,5.5,5.6,"{'station_id': 0.8614036940414609, 'leader': None, 'speed': 14.03999999999999, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-31.29000000000002, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,100,5.6,5.7,"{'station_id': 0.4133115141195035, 'leader': None, 'speed': 14.190312500000006, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-29.870968750000017, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,101,5.7,5.8,"{'station_id': 0.7032064589290751, 'leader': None, 'speed': 13.740312500000003, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-28.496937500000016, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,441,CAM,102,5.8,5.9,"{'station_id': 0.7795021506148696, 'leader': None, 'speed': 13.290312500000004, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-27.167906250000016, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,103,5.9,6.0,"{'station_id': 0.5667041046544845, 'leader': None, 'speed': 12.840312500000003, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-25.883875000000018, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,104,6.0,6.1,"{'station_id': 0.5559764376970652, 'leader': None, 'speed': 12.390312500000004, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-24.644843750000014, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,105,6.1,6.2,"{'station_id': 0.9530616823273175, 'leader': None, 'speed': 11.940312500000005, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-23.450812500000012, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,106,6.2,6.3,"{'station_id': 0.6157087992096175, 'leader': None, 'speed': 11.490312500000003, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-22.301781250000012, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,107,6.3,6.4,"{'station_id': 0.3451190442977029, 'leader': None, 'speed': 11.040312500000004, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-21.19775000000002, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,108,6.4,6.5,"{'station_id': 0.44964256386305734, 'leader': None, 'speed': 10.590312500000003, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-20.13871875000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,441,CAM,109,6.5,6.6,"{'station_id': 0.03819341913956531, 'leader': None, 'speed': 10.140312500000002, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-19.124687500000007, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,110,6.6,6.7,"{'station_id': 0.1612778753403139, 'leader': None, 'speed': 10.400312500000002, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-18.08465625000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,111,6.7,6.8,"{'station_id': 0.3710011699975052, 'leader': None, 'speed': 10.660312500000002, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-17.018625000000007, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,112,6.8,6.9,"{'station_id': 0.07295509369492104, 'leader': None, 'speed': 10.920312500000001, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-15.92659375000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,433,CAM,113,6.9,7.0,"{'station_id': 0.8908606263337211, 'leader': None, 'speed': 11.180312500000001, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-14.8085625, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,114,7.0,7.1,"{'station_id': 0.01861570219839681, 'leader': None, 'speed': 10.773984375000001, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-13.731164062500007, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,440,CAM,115,7.1,7.2,"{'station_id': 0.6854254616684435, 'leader': None, 'speed': 10.323984375000002, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-12.698765625000007, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,116,7.2,7.3,"{'station_id': 0.03826319829170799, 'leader': None, 'speed': 9.873984375000003, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-11.71136718750001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,439,CAM,117,7.3,7.4,"{'station_id': 0.8398442825890344, 'leader': None, 'speed': 9.423984375000003, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-10.768968750000013, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,118,7.4,7.5,"{'station_id': 0.5420455334560174, 'leader': None, 'speed': 8.973984375000006, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-9.871570312500012, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,437,CAM,119,7.5,7.6,"{'station_id': 0.2084101608459854, 'leader': None, 'speed': 8.523984375000003, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-9.019171875000012, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,120,7.6,7.7,"{'station_id': 0.6233015590357651, 'leader': None, 'speed': 8.073984375000004, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-8.211773437500014, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,438,CAM,121,7.7,7.8,"{'station_id': 0.5056059873795469, 'leader': None, 'speed': 7.623984375000006, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-7.449375000000018, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car,454,CAM,122,7.8,7.9,"{'station_id': 0.24411613405795618, 'leader': None, 'speed': 7.173984375000009, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-6.736686649623492, -1.5338123785176419, 0], 'elevation': 0, 'heading': 0}}"
car,452,CAM,123,7.9,8.0,"{'station_id': 0.2763076322133672, 'leader': None, 'speed': 6.723984375000013, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-6.071055085251103, -1.438722155035872, 0], 'elevation': 0, 'heading': 0}}"
car,453,CAM,124,8.0,8.1,"{'station_id': 0.733776343872944, 'leader': None, 'speed': 6.273984375000013, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-5.449970650565875, -1.3499958072236966, 0], 'elevation': 0, 'heading': 0}}"
car,453,CAM,125,8.1,8.2,"{'station_id': 0.22565911295502028, 'leader': None, 'speed': 6.533984375000013, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-4.803147874283621, -1.2575925534690888, 0], 'elevation': 0, 'heading': 0}}"
car,452,CAM,126,8.2,8.3,"{'station_id': 0.9821307624961788, 'leader': None, 'speed': 6.793984375000012, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-4.13058675640434, -1.1615123937720486, 0], 'elevation': 0, 'heading': 0}}"
car,454,CAM,127,8.3,8.4,"{'station_id': 0.38659527617348866, 'leader': None, 'speed': 7.053984375000012, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-3.4322872969280325, -1.061755328132576, 0], 'elevation': 0, 'heading': 0}}"
car,453,CAM,128,8.4,8.5,"{'station_id': 0.49117563283765187, 'leader': None, 'speed': 7.313984375000012, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-2.794116572713348, -0.7164699436280089, 0], 'elevation': 0, 'heading': 0}}"
car,455,CAM,129,8.5,8.6,"{'station_id': 0.7100685700978748, 'leader': None, 'speed': 7.573984375000012, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-2.1446614819994663, -0.32679688919967986, 0], 'elevation': 0, 'heading': 0}}"
car,454,CAM,130,8.6,8.7,"{'station_id': 0.22613903039999594, 'leader': None, 'speed': 7.8339843750000115, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-1.472874762635963, 0.07627514241842226, 0], 'elevation': 0, 'heading': 0}}"
