FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car1,432,CAM,124,4.2,4.3,"{'station_id': 0.1967923388974422, 'leader': 'car2', 'speed': 10.659999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-47.514, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,427,CAM,125,4.2,4.3,"{'station_id': 0.8918188600738549, 'leader': None, 'speed': 10.659999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [47.514, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,443,CAM,127,4.3,4.4,"{'station_id': 0.26599737639705, 'leader': 'car2', 'speed': 10.919999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-46.422000000000004, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,439,CAM,128,4.3,4.4,"{'station_id': 0.44174729383319, 'leader': None, 'speed': 10.919999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [46.422000000000004, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,431,CAM,129,4.4,4.5,"{'station_id': 0.7079122112023054, 'leader': 'car2', 'speed': 11.179999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-45.304, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,426,CAM,130,4.4,4.5,"{'station_id': 0.5610149658274783, 'leader': None, 'speed': 11.179999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [45.304, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,443,CAM,131,4.5,4.6,"{'station_id': 0.24250919315128638, 'leader': 'car2', 'speed': 11.439999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-44.16000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,438,CAM,132,4.5,4.6,"{'station_id': 0.6666920626245704, 'leader': None, 'speed': 11.439999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [44.16000000000001, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,444,CAM,133,4.6,4.7,"{'station_id': 0.08064772837958889, 'leader': 'car2', 'speed': 11.699999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-42.99000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,439,CAM,134,4.6,4.7,"{'station_id': 0.9071876949621825, 'leader': None, 'speed': 11.699999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [42.99000000000001, 1.6, 0], 'elevation': 0, 'heading': 0}}"
