FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car2,440,CAM,119,4.0,4.1,"{'station_id': 0.3936174469037126, 'leader': None, 'speed': 10.139999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [49.620000000000005, 1.6, 0], 'elevation': 0, 'heading': 0}}"
gneJ1,439,DENM,120,4.0,4.1,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 1, 'subcause': 0, 'severity': 2}, 'location': {'lane': 'None', 'position': [0, 0, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car2,426,CAM,122,4.1,4.2,"{'station_id': 0.029129695937807232, 'leader': None, 'speed': 10.399999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [48.58, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,428,CAM,124,4.2,4.3,"{'station_id': 0.08396986763845038, 'leader': None, 'speed': 10.659999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [47.514, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,440,CAM,126,4.3,4.4,"{'station_id': 0.623194634447739, 'leader': None, 'speed': 10.919999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [46.422000000000004, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,426,CAM,128,4.4,4.5,"{'station_id': 0.2063408587100386, 'leader': None, 'speed': 11.179999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [45.304, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,438,CAM,130,4.5,4.6,"{'station_id': 0.9544563481739209, 'leader': None, 'speed': 11.439999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [44.16000000000001, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,438,CAM,132,4.6,4.7,"{'station_id': 0.6589747815449053, 'leader': None, 'speed': 11.699999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [42.99000000000001, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,438,CAM,134,4.7,4.8,"{'station_id': 0.2017856335380992, 'leader': None, 'speed': 11.959999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [41.79400000000001, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,438,CAM,136,4.8,4.9,"{'station_id': 0.6604000657574969, 'leader': None, 'speed': 12.219999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [40.57200000000001, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,438,CAM,138,4.9,5.0,"{'station_id': 0.5738357661623918, 'leader': None, 'speed': 12.479999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [39.32400000000001, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,438,CAM,140,5.0,5.1,"{'station_id': 0.2997285741173751, 'leader': None, 'speed': 12.739999999999991, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [38.05000000000001, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,439,CAM,142,5.1,5.2,"{'station_id': 0.7661367993860526, 'leader': None, 'speed': 12.999999999999991, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [36.750000000000014, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,440,CAM,144,5.2,5.3,"{'station_id': 0.6050819895182402, 'leader': 'car1', 'speed': 13.033068701216276, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [35.44669312987838, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,440,CAM,146,5.3,5.4,"{'station_id': 0.9641830652826533, 'leader': 'car1', 'speed': 13.033068701216276, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [34.14338625975675, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,440,CAM,148,5.4,5.5,"{'station_id': 0.14318841605662302, 'leader': 'car1', 'speed': 13.033068701216276, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [32.84007938963512, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,440,CAM,150,5.5,5.6,"{'station_id': 0.6003844644226358, 'leader': 'car1', 'speed': 13.033068701216276, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [31.53677251951349, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,440,CAM,152,5.6,5.7,"{'station_id': 0.20580723046117977, 'leader': 'car1', 'speed': 13.033068701216276, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [30.23346564939186, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,440,CAM,154,5.7,5.8,"{'station_id': 0.3886518245914985, 'leader': 'car1', 'speed': 13.033068701216276, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [28.93015877927023, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,439,CAM,156,5.8,5.9,"{'station_id': 0.03764849888810318, 'leader': 'car1', 'speed': 13.033068701216276, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [27.6268519091486, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,441,CAM,158,5.9,6.0,"{'station_id': 0.4254902607021459, 'leader': 'car1', 'speed': 12.998569623844341, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [26.326994946764167, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,441,CAM,160,6.0,6.1,"{'station_id': 0.4939385623427345, 'leader': 'car1', 'speed': 12.548569623844344, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [25.07213798437973, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,441,CAM,162,6.1,6.2,"{'station_id': 0.47887604389554006, 'leader': 'car1', 'speed': 12.098569623844345, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [23.862281021995294, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,440,CAM,164,6.2,6.3,"{'station_id': 0.3306755406500027, 'leader': 'car1', 'speed': 11.648569623844343, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [22.69742405961086, 1.6, 0], 'elevation': 0, 'heading': 0}}"
