FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car1,442,CAM,118,4.0,4.1,"{'station_id': 0.18289145785246896, 'leader': 'car2', 'speed': 10.139999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-49.620000000000005, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,440,CAM,119,4.0,4.1,"{'station_id': 0.48459734195022053, 'leader': None, 'speed': 10.139999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [49.620000000000005, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,431,CAM,121,4.1,4.2,"{'station_id': 0.6593491864140382, 'leader': 'car2', 'speed': 10.399999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-48.58, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,426,CAM,122,4.1,4.2,"{'station_id': 0.8454066638458796, 'leader': None, 'speed': 10.399999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [48.58, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,431,CAM,123,4.2,4.3,"{'station_id': 0.5243332454745343, 'leader': 'car2', 'speed': 10.659999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-47.514, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,428,CAM,124,4.2,4.3,"{'station_id': 0.8643423238015271, 'leader': None, 'speed': 10.659999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [47.514, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,440,CAM,126,4.3,4.4,"{'station_id': 0.605140581651769, 'leader': None, 'speed': 10.919999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [46.422000000000004, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,431,CAM,127,4.4,4.5,"{'station_id': 0.9370037168728147, 'leader': 'car2', 'speed': 11.179999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-45.304, -1.6, 0], 'elevation': 0, 'heading': 0}}"
car2,426,CAM,128,4.4,4.5,"{'station_id': 0.035436891605625465, 'leader': None, 'speed': 11.179999999999993, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [45.304, 1.6, 0], 'elevation': 0, 'heading': 0}}"
car1,441,CAM,129,4.5,4.6,"{'station_id': 0.5452284701055271, 'leader': 'car2', 'speed': 11.439999999999992, 'station_characteristics': {'mobile_its_station': False, 'private_its_station': False, 'physical_relevant_its_station': False}, 'reference_position': {'lane': 0, 'position': [-44.16000000000001, -1.6, 0], 'elevation': 0, 'heading': 0}}"
