STEP,TIME,DRIVING_DISTANCE,LEADER_AND_DISTANCE,WIFI_STRENGTH,CAM_COUNT,DENM_COUNT,CAM_BYTES,DENM_BYTES
1,0.1,None,"(None, None)",0,0,0,0,0
2,0.2,0.0259999999999998,"(None, None)",-89.0,0,0,0,0
3,0.3,0.0779999999999994,"(None, None)",-89.0,0,0,0,0
4,0.4,0.1559999999999997,"(None, None)",-89.0,0,0,0,0
5,0.5,0.2599999999999998,"(None, None)",-89.0,0,0,0,0
6,0.6,0.3899999999999997,"(None, None)",-89.0,0,0,0,0
7,0.7,0.5459999999999994,"(None, None)",-89.0,0,0,0,0
8,0.8,0.7279999999999998,"(None, None)",-89.0,0,0,0,0
9,0.9,0.9359999999999999,"(None, None)",-89.0,0,0,0,0
10,1.0,1.17,"(None, None)",-89.0,0,0,0,0
11,1.1,1.4299999999999997,"(None, None)",-89.0,0,0,0,0
12,1.2,1.7159999999999993,"(None, None)",-89.0,0,0,0,0
13,1.3,2.0279999999999996,"(None, None)",-89.0,0,0,0,0
14,1.4,2.3659999999999997,"(None, None)",-89.0,0,0,0,0
15,1.5,2.7299999999999995,"(None, None)",-89.0,0,0,0,0
16,1.6,3.119999999999999,"(None, None)",-89.0,0,0,0,0
17,1.7,3.5359999999999996,"(None, None)",-89.0,0,0,0,0
18,1.8,3.9779999999999998,"(None, None)",-89.0,0,0,0,0
19,1.9,4.446,"(None, None)",-88.0,0,0,0,0
20,2.0,4.9399999999999995,"(None, None)",-88.0,0,0,0,0
21,2.1,5.4399999999999995,"(None, None)",-88.0,0,0,0,0
22,2.2,5.9399999999999995,"(None, None)",-88.0,0,0,0,0
23,2.3,6.4399999999999995,"(None, None)",-88.0,0,0,0,0
24,2.4,6.9399999999999995,"(None, None)",-88.0,0,0,0,0
25,2.5,7.4399999999999995,"(None, None)",-88.0,0,0,0,0
26,2.6,7.9399999999999995,"(None, None)",-88.0,0,0,0,0
27,2.7,8.44,"(None, None)",-88.0,0,0,0,0
28,2.8,8.94,"(None, None)",-88.0,0,0,0,0
29,2.9,9.44,"(None, None)",-87.0,0,0,0,0
30,3.0,9.94,"(None, None)",-87.0,0,0,0,0
31,3.1,10.44,"(None, None)",-87.0,0,0,0,0
32,3.2,10.94,"(None, None)",-87.0,0,0,0,0
33,3.3,11.44,"(None, None)",-87.0,0,0,0,0
34,3.4,11.94,"(None, None)",-87.0,0,0,0,0
35,3.5,12.44,"(None, None)",-87.0,0,0,0,0
36,3.6,12.94,"(None, None)",-87.0,0,0,0,0
37,3.7,13.44,"(None, None)",-87.0,0,0,0,0
38,3.8,13.94,"(None, None)",-86.0,0,0,0,0
39,3.9,14.44,"(None, None)",-86.0,0,0,0,0
40,4.0,14.94,"(None, None)",-86.0,0,0,0,0
41,4.1,15.44,"(None, None)",-86.0,0,0,0,0
42,4.2,15.94,"(None, None)",-86.0,0,0,0,0
43,4.3,16.439999999999998,"(None, None)",-86.0,0,0,0,0
44,4.4,16.939999999999998,"(None, None)",-86.0,0,0,0,0
45,4.5,17.439999999999998,"(None, None)",-86.0,0,0,0,0
46,4.6,17.939999999999998,"(None, None)",-86.0,0,0,0,0
