FROM,BYTES,PROTOCOL,ID,GEN_TIME,REC_TIME,BODY
car1,439,DENM,1,11.1,11.2,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [55.44, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,439,DENM,2,11.2,11.3,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [55.94, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,439,DENM,4,11.3,11.4,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [56.44, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,440,DENM,6,11.4,11.5,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [56.966, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,440,DENM,8,11.5,11.6,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [57.518, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,441,DENM,10,11.6,11.7,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [58.096, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,453,DENM,12,11.7,11.8,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [58.699999999999996, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,440,DENM,14,11.8,11.9,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [59.33, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,441,DENM,16,11.9,12.0,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [59.986, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
car1,441,DENM,18,12.0,12.1,"{'management': {'station_id': 0, 'sequence_id': 0, 'data_version': 0, 'expirity_time': 0, 'frequency': 0, 'reliablity': 100, 'is_negation': False}, 'situation': {'cause': 0, 'subcause': 0, 'severity': 2}, 'location': {'lane': 1, 'position': [60.668, -1.6, 0], 'elevation': 0, 'trace_id': 0, 'way_point': (0, 0, 0)}}"
